Player,Pos,Year,Salary,PTS,TRB,AST,STL,BLK,FGA,FG,FTA,FT,TOV,Efficiency,Salary_per_Efficiency,Team_sal,Team_stats,G,MP
Stephen Curry,PG,2017.0,55761216,1999.0,353.0,523.0,143.0,17.0,1443.0,675.0,362.0,325.0,239.0,1991.0,28006.637870416875,GSW,GSW,79.0,2638.0
Joel Embiid,C,2017.0,51415938,627.0,243.0,66.0,27.0,76.0,429.0,200.0,244.0,191.0,117.0,640.0,80337.403125,PHI,PHI,31.0,786.0
Nikola Jokic,C,2017.0,51415938,1221.0,718.0,359.0,61.0,56.0,854.0,494.0,228.0,188.0,171.0,1844.0,27882.829718004337,DEN,DEN,73.0,2038.0
Kevin Durant,SF,2017.0,51179021,1555.0,513.0,300.0,66.0,99.0,1026.0,551.0,384.0,336.0,138.0,1872.0,27339.22061965812,PHO,GSW,62.0,2070.0
Bradley Beal,SG,2017.0,50203930,1779.0,239.0,267.0,83.0,21.0,1322.0,637.0,342.0,282.0,157.0,1487.0,33761.88971082717,PHO,WAS,77.0,2684.0
Jaylen Brown,SF,2017.0,49205800,515.0,220.0,64.0,35.0,18.0,423.0,192.0,124.0,85.0,68.0,514.0,95731.12840466926,BOS,BOS,78.0,1341.0
Devin Booker,SG,2017.0,49205800,1726.0,249.0,268.0,72.0,21.0,1431.0,606.0,441.0,367.0,241.0,1196.0,41141.97324414716,PHO,PHO,78.0,2730.0
Karl-Anthony Towns,C,2017.0,49205800,2061.0,1007.0,220.0,57.0,103.0,1479.0,802.0,428.0,356.0,212.0,2487.0,19785.20305589063,NYK,MIN,82.0,3030.0
Paul George,SF,2017.0,49205800,1775.0,492.0,251.0,117.0,27.0,1349.0,622.0,374.0,336.0,218.0,1679.0,29306.611078022634,PHI,IND,75.0,2689.0
Kawhi Leonard,SF,2017.0,49205800,1888.0,430.0,260.0,132.0,55.0,1311.0,636.0,533.0,469.0,154.0,1872.0,26285.149572649574,LAC,SAS,74.0,2474.0
Jimmy Butler,SF,2017.0,48798677,1816.0,470.0,417.0,143.0,32.0,1252.0,570.0,676.0,585.0,159.0,1946.0,25076.401336074,GSW,CHI,76.0,2809.0
Giannis Antetokounmpo,SF,2017.0,48787676,1832.0,700.0,434.0,131.0,151.0,1259.0,656.0,612.0,471.0,234.0,2270.0,21492.368281938325,MIL,MIL,80.0,2845.0
